payout,miles,fuel_cost,net_profit,estimated_minutes,net_hourly_rate,net_dollars_per_mile,hourly_score,mileage_score,profit_score,final_score,flags
2.50,0.5,0.0733,2.4267,8.0000,18.2000,4.8533,4.1000,10.0000,0.5333,5.0400,
2.50,1.0,0.1467,2.3533,9.5000,14.8632,2.3533,2.4316,10.0000,0.4417,4.0252,
2.50,1.5,0.2200,2.2800,11.0000,12.4364,1.5200,1.2182,5.1333,0.3500,2.0667,
2.50,2.0,0.2933,2.2067,12.5000,10.5920,1.1033,0.2960,2.3556,0.2583,0.8052,
2.50,2.5,0.3667,2.1333,13.8000,9.2754,0.8533,0.0000,0.6889,0.1667,0.1972,
2.50,3.0,0.4400,2.0600,15.1000,8.1854,0.6867,0.0000,0.0000,0.0750,0.0113,
2.50,3.5,0.5133,1.9867,16.4000,7.2683,0.5676,0.0000,0.0000,0.0000,0.0000,
2.50,4.0,0.5867,1.9133,17.7000,6.4859,0.4783,0.0000,0.0000,0.0000,0.0000,
2.50,4.5,0.6600,1.8400,19.0000,5.8105,0.4089,0.0000,0.0000,0.0000,0.0000,
2.50,5.0,0.7333,1.7667,20.3000,5.2217,0.3533,0.0000,0.0000,0.0000,0.0000,
2.50,5.5,0.8067,1.6933,21.4000,4.7477,0.3079,0.0000,0.0000,0.0000,0.0000,
2.50,6.0,0.8800,1.6200,22.5000,4.3200,0.2700,0.0000,0.0000,0.0000,0.0000,
2.50,6.5,0.9533,1.5467,23.6000,3.9322,0.2379,0.0000,0.0000,0.0000,0.0000,
2.50,7.0,1.0267,1.4733,24.7000,3.5789,0.2105,0.0000,0.0000,0.0000,0.0000,
2.50,7.5,1.1000,1.4000,25.8000,3.2558,0.1867,0.0000,0.0000,0.0000,0.0000,
2.50,8.0,1.1733,1.3267,26.9000,2.9591,0.1658,0.0000,0.0000,0.0000,0.0000,
2.50,8.5,1.2467,1.2533,27.8000,2.7050,0.1475,0.0000,0.0000,0.0000,0.0000,
2.50,9.0,1.3200,1.1800,28.7000,2.4669,0.1311,0.0000,0.0000,0.0000,0.0000,
2.50,9.5,1.3933,1.1067,29.6000,2.2432,0.1165,0.0000,0.0000,0.0000,0.0000,
2.50,10.0,1.4667,1.0333,30.5000,2.0328,0.1033,0.0000,0.0000,0.0000,0.0000,
2.50,10.5,1.5400,0.9600,31.4000,1.8344,0.0914,0.0000,0.0000,0.0000,0.0000,
2.50,11.0,1.6133,0.8867,32.3000,1.6471,0.0806,0.0000,0.0000,0.0000,0.0000,
2.50,11.5,1.6867,0.8133,33.2000,1.4699,0.0707,0.0000,0.0000,0.0000,0.0000,
2.50,12.0,1.7600,0.7400,34.1000,1.3021,0.0617,0.0000,0.0000,0.0000,0.0000,
2.50,12.5,1.8333,0.6667,34.9000,1.1461,0.0533,0.0000,0.0000,0.0000,0.0000,
2.50,13.0,1.9067,0.5933,35.7000,0.9972,0.0456,0.0000,0.0000,0.0000,0.0000,
2.50,13.5,1.9800,0.5200,36.5000,0.8548,0.0385,0.0000,0.0000,0.0000,0.0000,
2.50,14.0,2.0533,0.4467,37.3000,0.7185,0.0319,0.0000,0.0000,0.0000,0.0000,
2.50,14.5,2.1267,0.3733,38.1000,0.5879,0.0257,0.0000,0.0000,0.0000,0.0000,
2.50,15.0,2.2000,0.3000,38.9000,0.4627,0.0200,0.0000,0.0000,0.0000,0.0000,
2.50,15.5,2.2733,0.2267,39.7000,0.3426,0.0146,0.0000,0.0000,0.0000,0.0000,
2.50,16.0,2.3467,0.1533,40.5000,0.2272,0.0096,0.0000,0.0000,0.0000,0.0000,
2.50,16.5,2.4200,0.0800,41.3000,0.1162,0.0048,0.0000,0.0000,0.0000,0.0000,
2.50,17.0,2.4933,0.0067,42.1000,0.0095,0.0004,0.0000,0.0000,0.0000,0.0000,
2.50,17.5,2.5667,-0.0667,42.9000,-0.0932,-0.0038,0.0000,0.0000,0.0000,0.0000,
2.50,18.0,2.6400,-0.1400,43.7000,-0.1922,-0.0078,0.0000,0.0000,0.0000,0.0000,
